檔名,用途,攝影師,Unsplash ID,來源網址,授權,原始尺寸,取得日期,備註
hero_desktop.webp,首頁 Hero 桌機 21:9,Giorgio Trovato (@giorgiotrovato),T9u-Xr30FY8,https://unsplash.com/photos/T9u-Xr30FY8,Unsplash License,5760x3840,2026-09-05,選圖基準 A；佔位圖，上線前替換為實拍
hero_mobile.webp,首頁 Hero 手機 4:5,Giorgio Trovato (@giorgiotrovato),NF_Q9RQ6qRk,https://unsplash.com/photos/NF_Q9RQ6qRk,Unsplash License,2880x1920,2026-09-05,佔位圖，上線前替換為實拍
hero_desktop_alt.webp,Hero 備選 21:9,Greg Trowman (@gregtrow),jsuWg7IXx1k,https://unsplash.com/photos/jsuWg7IXx1k,Unsplash License,5761x4000,2026-09-05,備選，未採用時可刪
about_intro.webp,首頁 品牌介紹 3:2,Greg Trowman (@gregtrow),k7AvgINPgdg,https://unsplash.com/photos/k7AvgINPgdg,Unsplash License,6000x4000,2026-09-05,佔位圖
about_hero.webp,/about 頁首 16:9,Guilherme Petri (@guipetri),PtOfbGkU3uI,https://unsplash.com/photos/PtOfbGkU3uI,Unsplash License,4038x2692,2026-09-05,佔位圖
space_lounge.webp,/about 等候區 16:9,Greg Trowman (@gregtrow),kJx_9iCByBs,https://unsplash.com/photos/kJx_9iCByBs,Unsplash License,6000x4000,2026-09-05,佔位圖
space_cutting.webp,/about 剪髮區 16:9,Giorgio Trovato (@giorgiotrovato),gI9rvJK61L8,https://unsplash.com/photos/gI9rvJK61L8,Unsplash License,5760x3840,2026-09-05,選圖基準 B；佔位圖
space_detail.webp,/about 空間細節 16:9,Giorgio Trovato (@giorgiotrovato),XBcURNhKeog,https://unsplash.com/photos/XBcURNhKeog,Unsplash License,5760x3840,2026-09-05,佔位圖
space_alt_01.webp,空間備選 16:9,Guilherme Petri (@guipetri),ZkNxY2zErck,https://unsplash.com/photos/ZkNxY2zErck,Unsplash License,4104x2736,2026-09-05,備選
space_alt_02.webp,空間備選 16:9,Tile Merchant Ireland (@tilemerchant),pb1Ajy_QUeE,https://unsplash.com/photos/pb1Ajy_QUeE,Unsplash License,6144x4098,2026-09-05,備選
location_stairs.webp,/location 二樓樓梯 16:9,Cuvii (@cuvii),KvZ1Z2Q-7uc,https://unsplash.com/photos/KvZ1Z2Q-7uc,Unsplash License,7728x5152,2026-09-05,佔位圖；日本拍攝，氛圍貼近文案「樓梯在店面右手邊」
location_exterior.webp,/location 外觀 16:9,Hector Falcon (@hectorfalcon),4FhMrcTl4Kc,https://unsplash.com/photos/4FhMrcTl4Kc,Unsplash License,5184x3456,2026-09-05,佔位圖；壓縮後 193KB 為細節較多的例外
location_env_01.webp,/location 環境 16:9,Nico Knaack (@xoxnk),C6SUsdkBGjE,https://unsplash.com/photos/C6SUsdkBGjE,Unsplash License,3475x2328,2026-09-05,佔位圖
service_cut.webp,服務卡片 剪髮 1:1,Victor Sirbu (@victorsirbu04),Cr3CxWtuc5U,https://unsplash.com/photos/Cr3CxWtuc5U,Unsplash License,3688x3688,2026-09-05,佔位圖
service_cut_alt.webp,剪髮備選 剪刀平拍 1:1,Giorgio Trovato (@giorgiotrovato),U-DinasrjvU,https://unsplash.com/photos/U-DinasrjvU,Unsplash License,10000x10000,2026-09-05,備選
